datetime,temperature,pressure,loading,"quality, %"
2022-01-01 00:00:00,378.7230130227303,5.446455553087382,377.67293469337193,97.1
2022-01-01 00:01:00,379.4019167574716,5.451529135601869,370.9712885326756,97.49
2022-01-01 00:02:00,377.4749232766416,5.45065821467374,378.4305035371042,97.1
2022-01-01 00:03:00,379.4661780960921,5.451832155553335,390.2931751106246,96.76
2022-01-01 00:04:00,383.35173244548156,5.449400710985692,394.2569846082099,97.48
2022-01-01 00:05:00,380.67245609841865,5.459822333351072,394.8882236688314,97.72
2022-01-01 00:06:00,378.97418390207287,5.4469586152360305,397.78150634757674,96.72
2022-01-01 00:07:00,372.6459885647288,5.455748356951977,398.00763907777923,96.93
2022-01-01 00:08:00,370.19772511765086,5.45148009936147,396.5314037598171,97.66
2022-01-01 00:09:00,367.3172339616896,5.461084539141882,394.5447553462372,97.19
2022-01-01 00:10:00,367.6973986329126,5.468755281673026,391.49683667329793,97.77
2022-01-01 00:11:00,368.0295843397344,5.47513030818676,400.6571824897751,97.91
2022-01-01 00:12:00,366.71834014308877,5.480331312522697,402.1349839365155,97.83
2022-01-01 00:13:00,364.58431858480674,5.49456821642868,410.5474918255766,98.86
2022-01-01 00:14:00,367.3935209921183,5.490828049670445,417.8985211884495,98.81
2022-01-01 00:15:00,367.57614708619343,5.487173872162276,420.2548009360381,98.04
2022-01-01 00:16:00,372.4119493883669,5.48305083223583,426.718405965639,98.21
2022-01-01 00:17:00,374.9983290497745,5.488861401005278,433.36958784987104,97.45
2022-01-01 00:18:00,372.049379334356,5.480696747667067,427.56338302907625,97.81
2022-01-01 00:19:00,369.18093373177356,5.4870477630433445,435.5658811620074,97.97
2022-01-01 00:20:00,370.5349190079466,5.485233416778727,433.54662213555576,96.86
2022-01-01 00:21:00,367.71419061445755,5.478522940643798,433.05796378637064,97.91
2022-01-01 00:22:00,368.19757820543606,5.471750339799327,433.3614848293437,97.79
2022-01-01 00:23:00,369.36846426670587,5.466742160847597,439.9338564810663,98.77
2022-01-01 00:24:00,370.68713672833667,5.457403342749533,437.3826802142345,98.15
2022-01-01 00:25:00,371.94848451339624,5.460631494364104,436.0176192932213,98.05
2022-01-01 00:26:00,369.75858862547153,5.465981158915486,441.8586951290232,98.54
2022-01-01 00:27:00,365.4803987763183,5.472002360973829,449.39994915176106,97.73
2022-01-01 00:28:00,359.45940572176204,5.46806410325909,441.19335804111654,98.03
2022-01-01 00:29:00,358.76574593782817,5.469996725463163,442.8811898309395,98.13
2022-01-01 00:30:00,364.1842619659946,5.470027340621198,448.8863401908807,98.11
2022-01-01 00:31:00,358.34490886266275,5.474370106777507,450.87537121943774,96.88
2022-01-01 00:32:00,362.455120729322,5.477163060098199,455.6437538376907,97.86
2022-01-01 00:33:00,356.88556125166485,5.477728189737077,457.76139546085204,98.35
2022-01-01 00:34:00,353.19036780794715,5.46605022877338,465.5562767037708,97.46
2022-01-01 00:35:00,351.674317209436,5.465001523448083,460.22986690839645,98.3
2022-01-01 00:36:00,355.90249034800297,5.465696062653,465.76424381107375,97.99
2022-01-01 00:37:00,353.0858577852242,5.461328751474975,463.5786264039352,99.03
2022-01-01 00:38:00,355.71303052956335,5.459635444012816,465.74971716207284,98.94
2022-01-01 00:39:00,359.1249896064669,5.4514703900690185,459.7534461119253,98.24
2022-01-01 00:40:00,362.62960125411945,5.449450809970098,460.60274065512135,97.86
2022-01-01 00:41:00,362.7839031241145,5.45262706453031,458.2977236694532,98.08
2022-01-01 00:42:00,364.3234016927289,5.465750422490214,450.71264477937103,98.16
2022-01-01 00:43:00,366.22395815115976,5.4593855326718606,446.2058939646837,98.15
2022-01-01 00:44:00,368.89372258213973,5.459232813203121,447.2700741538448,98.59
2022-01-01 00:45:00,369.0733356709656,5.453189862887439,442.12805689566017,98.44
2022-01-01 00:46:00,368.0913604803546,5.452606182836623,448.8538214043391,98.35
2022-01-01 00:47:00,359.6017824866463,5.4511983945116285,447.65687958225175,97.77
2022-01-01 00:48:00,356.0607795115745,5.456429319865441,450.86036660310276,98.13
2022-01-01 00:49:00,355.90289940414686,5.46254756954761,452.2050481392221,98.92
2022-01-01 00:50:00,359.65461278866724,5.463568455772692,453.55910410049586,98.2
2022-01-01 00:51:00,367.19229937108395,5.4628470169868955,458.8307596942607,98.63
2022-01-01 00:52:00,366.6849477690445,5.470299443229275,458.37339354400933,98.84
2022-01-01 00:53:00,365.31744007157914,5.471426973061333,454.539481125168,98.48
2022-01-01 00:54:00,361.30775316852845,5.480952603231782,451.02785199155954,98.35
2022-01-01 00:55:00,365.2745995261445,5.470683975900102,463.2148877810824,98.28
2022-01-01 00:56:00,361.0532692237497,5.481877912408926,464.0704821083285,99.05
